id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
15843223,1.6 2U 고급형,890,가솔린,빨간색,80400,148,0,2014-05-17,no,no,no,충북,2009
15847954,1.6 GDI 럭셔리 기본형,1040,가솔린,빨간색,47251,415,0,2014-05-18,no,no,no,경기,2011
15886062,1.6 2U 세이프티,960,가솔린,은색,50000,389,0,2014-05-26,no,no,no,경기,2010
16323023,1.6 GDI 럭셔리 에코플러스,950,가솔린,진주색,42104,1018,5,2014-08-28,no,no,no,경기,2011
15002636,1.6 2U 최고급형,859,가솔린,빨간색,50000,538,1,2014-03-25,no,no,no,경기,2009
16494313,1.6 GDI 럭셔리 기본형,1170,가솔린,진주색(아이보리),16000,58,0,2014-09-30,no,no,no,경기,2011
16343979,1.6 스마트,870,가솔린,빨간색,51918,110,0,2014-08-29,no,no,no,경남,2010
16411040,1.6 2U 세이프티,890,가솔린,진주투톤,75000,90,0,2014-09-15,no,no,no,서울,2009
16398123,1.6 GDI 프리미엄 기본형,1050,가솔린,진주색,37000,490,3,2014-09-12,no,yes,yes,경기,2011
16480783,1.6 2U 최고급형,950,가솔린,진주색,45000,81,1,2014-09-27,no,no,no,대구,2009
16266252,1.6 2U 최고급형,860,가솔린,은색,49263,153,0,2014-08-12,no,yes,no,경기,2009
16363150,1.6 2U 세이프티,890,가솔린,진주색,58000,46,0,2014-09-02,no,no,no,강원,2010
16494119,1.6 U 최고급형,840,가솔린,검정색,78000,80,0,2014-09-30,no,no,no,인천,2009
16323644,디젤 1.6 U 고급형,960,디젤,검정색,47394,2746,19,2014-08-27,no,yes,no,경기,2009
15951337,1.6 2U 고급형,880,가솔린,은색,78832,210,2,2014-08-12,no,no,no,경기,2009
16304402,1.6 GDI 디럭스 에코플러스,860,가솔린,흰색,74365,744,1,2014-08-21,no,no,no,경기,2011
16445867,1.6 2U 쿨,1120,가솔린,쥐색(티타튬골드),29000,188,2,2014-09-21,no,no,no,대구,2011
16476481,디젤 1.6 2U 쿨,1090,디젤,진주색,70000,126,0,2014-09-26,no,yes,no,서울,2009
16365545,1.6 2U 세이프티,1030,가솔린,진주색,39815,771,3,2014-09-06,no,no,no,경기,2011
16332180,1.6 스마트,790,가솔린,진주색,28295,659,1,2014-08-27,no,no,no,대구,2010
10405058,디젤 1.6 스마트,1199,디젤,쥐색,70000,24,0,2014-10-06,no,no,no,전북,2011
16312813,1.6 U 고급형,800,디젤,은색,107222,749,5,2014-08-22,no,no,no,충북,2010
16405035,1.6 2U 쿨,780,가솔린,진주색,140000,249,0,2014-09-13,no,yes,no,대구,2008
16457169,1.6 2U 쿨,990,가솔린,명은색,68921,75,0,2014-09-23,no,yes,no,경기,2010
16159537,1.6 U 고급형,690,가솔린,검정색,175503,1202,3,2014-07-21,no,no,no,경기,2009
16512532,1.6 2U 세이프티,790,가솔린,쥐색,59190,36,0,2014-10-04,no,no,no,경기,2009
16494317,1.6 2U 세이프티,720,가솔린,빨간색,141370,49,0,2014-09-30,no,no,no,경기,2009
16510152,1.6 2U 고급형,870,가솔린,연두색,21853,18,0,2014-10-03,no,no,no,경기,2008
16429434,1.6 2U 고급형,880,가솔린,은색투톤,64320,156,1,2014-09-18,no,no,no,대전,2009
16300031,디젤 1.6 스마트,990,디젤,검정색,94643,683,0,2014-08-20,no,yes,no,인천,2010
16344295,디젤 1.6 럭셔리,1250,디젤,진주색,48000,824,1,2014-08-29,no,no,no,서울,2011
16162701,2.0 스포츠,1160,가솔린,검정색,27138,2439,5,2014-07-23,no,yes,no,광주,2010
16433589,1.6 U 고급형,790,가솔린,흰색,50166,958,3,2014-09-20,no,no,no,경북,2010
16400747,1.6 2U 쿨,850,가솔린,진주색,81423,498,2,2014-09-12,no,no,no,경기,2009
16479910,1.6 2U 최고급형,750,가솔린,흰색,100000,126,1,2014-09-27,no,no,no,서울,2008
16460006,1.6 2U 쿨,1090,가솔린,진주색,87000,61,0,2014-09-24,no,yes,no,대구,2010
16503096,1.6 2U 쿨,930,가솔린,빨간색,70000,66,1,2014-10-02,no,yes,no,서울,2009
16442162,1.6 2U 세이프티,950,가솔린,진주색,27000,830,3,2014-09-20,no,no,no,대구,2010
16428562,1.6 U 고급형,880,가솔린,흰색(바닐라쉐이크투톤),69400,322,0,2014-09-17,no,no,no,경기,2010
16460898,1.6 2U 최고급형,1000,가솔린,빨간색(빨간색),46607,128,1,2014-09-24,no,yes,no,경기,2011
