890,19000,2014-09-22
820,93000,2014-10-08
1100,33361,2014-10-07
770,83713,2014-09-26
1120,10090,2014-08-09
1170,40000,2014-08-30
860,77786,2014-10-02
1270,15000,2014-09-22
1230,30000,2014-09-04
930,76491,2014-09-15
720,35000,2014-09-30
990,73000,2014-08-14
1220,40000,2014-10-07
790,33640,2014-09-15
840,103360,2014-06-28
700,54000,2014-09-14
880,39000,2014-09-23
1470,26927,2014-08-30
690,80091,2014-07-28
930,66823,2014-09-20
970,50000,2014-09-18
920,53850,2014-08-18
870,123162,2014-08-18
850,85000,2014-08-20
770,151781,2014-07-23
1130,33000,2014-10-01
760,126051,2014-10-03
1450,12137,2014-09-26
1250,71099,2014-07-13
690,87172,2013-12-09
950,43197,2014-10-08
